Zeit;Zeit_Time;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie;Netzanschluss;Ladequote
0;2024-01-01 00:00:00;0,0;0;0,0;0,0;0,0;p_max;2295,0;0,5626535626535627
5;2024-01-01 00:05:00;0,0;0;0,0;0,0;0,0;p_max;2295,0;0,5626535626535627
10;2024-01-01 00:10:00;100,0;100;100,0;0,0;0,0;p_max;2295,0;0,5626535626535627
15;2024-01-01 00:15:00;100,0;100;100,0;0,0;0,0;p_max;2295,0;0,5626535626535627
20;2024-01-01 00:20:00;100,0;100;100,0;0,0;0,0;p_max;2295,0;0,5626535626535627
25;2024-01-01 00:25:00;100,0;100;100,0;0,0;0,0;p_max;2295,0;0,5626535626535627
30;2024-01-01 00:30:00;100,0;100;100,0;0,0;0,0;p_max;2295,0;0,5626535626535627
35;2024-01-01 00:35:00;100,0;100;100,0;0,0;0,0;p_max;2295,0;0,5626535626535627
40;2024-01-01 00:40:00;200,0;200;200,0;0,0;0,0;p_max;2295,0;0,5626535626535627
45;2024-01-01 00:45:00;200,0;200;200,0;0,0;0,0;p_max;2295,0;0,5626535626535627
50;2024-01-01 00:50:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
55;2024-01-01 00:55:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
60;2024-01-01 01:00:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
65;2024-01-01 01:05:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
70;2024-01-01 01:10:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
75;2024-01-01 01:15:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
80;2024-01-01 01:20:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
85;2024-01-01 01:25:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
90;2024-01-01 01:30:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
95;2024-01-01 01:35:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
100;2024-01-01 01:40:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
105;2024-01-01 01:45:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
110;2024-01-01 01:50:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
115;2024-01-01 01:55:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
120;2024-01-01 02:00:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
125;2024-01-01 02:05:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
130;2024-01-01 02:10:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
135;2024-01-01 02:15:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
140;2024-01-01 02:20:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
145;2024-01-01 02:25:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
150;2024-01-01 02:30:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
155;2024-01-01 02:35:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
160;2024-01-01 02:40:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
165;2024-01-01 02:45:00;300,0;300;300,0;0,0;0,0;p_max;2295,0;0,5626535626535627
