Zeit;Zeit_Time;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie;Netzanschluss;Ladequote
0;2024-01-01 00:00:00;0,0;0;0,0;0,0;0,0;p_max;24550,0;0,9983379501385041
5;2024-01-01 00:05:00;100,0;100;100,0;0,0;0,0;p_max;24550,0;0,9983379501385041
10;2024-01-01 00:10:00;100,0;100;100,0;0,0;0,0;p_max;24550,0;0,9983379501385041
15;2024-01-01 00:15:00;100,0;100;100,0;0,0;0,0;p_max;24550,0;0,9983379501385041
20;2024-01-01 00:20:00;200,0;200;200,0;0,0;0,0;p_max;24550,0;0,9983379501385041
25;2024-01-01 00:25:00;400,0;400;400,0;0,0;0,0;p_max;24550,0;0,9983379501385041
30;2024-01-01 00:30:00;400,0;400;400,0;0,0;0,0;p_max;24550,0;0,9983379501385041
35;2024-01-01 00:35:00;500,0;500;500,0;0,0;0,0;p_max;24550,0;0,9983379501385041
40;2024-01-01 00:40:00;500,0;500;500,0;0,0;0,0;p_max;24550,0;0,9983379501385041
45;2024-01-01 00:45:00;600,0;600;600,0;0,0;0,0;p_max;24550,0;0,9983379501385041
50;2024-01-01 00:50:00;700,0;700;700,0;0,0;0,0;p_max;24550,0;0,9983379501385041
55;2024-01-01 00:55:00;700,0;700;700,0;0,0;0,0;p_max;24550,0;0,9983379501385041
60;2024-01-01 01:00:00;700,0;700;700,0;0,0;0,0;p_max;24550,0;0,9983379501385041
65;2024-01-01 01:05:00;700,0;700;700,0;0,0;0,0;p_max;24550,0;0,9983379501385041
70;2024-01-01 01:10:00;700,0;700;700,0;0,0;0,0;p_max;24550,0;0,9983379501385041
75;2024-01-01 01:15:00;800,0;800;800,0;0,0;0,0;p_max;24550,0;0,9983379501385041
80;2024-01-01 01:20:00;1000,0;1000;1000,0;0,0;0,0;p_max;24550,0;0,9983379501385041
85;2024-01-01 01:25:00;1100,0;1100;1100,0;0,0;0,0;p_max;24550,0;0,9983379501385041
90;2024-01-01 01:30:00;1100,0;1100;1100,0;0,0;0,0;p_max;24550,0;0,9983379501385041
95;2024-01-01 01:35:00;1100,0;1100;1100,0;0,0;0,0;p_max;24550,0;0,9983379501385041
100;2024-01-01 01:40:00;1100,0;1100;1100,0;0,0;0,0;p_max;24550,0;0,9983379501385041
105;2024-01-01 01:45:00;1100,0;1100;1100,0;0,0;0,0;p_max;24550,0;0,9983379501385041
